scope,addr,key,name,kind,comment,evidence,basis
bank0,0x0EA2,param_1,ticks,param,"The `mov A,R7` at 0x0EA5 is the value the caller left in the accumulator, stored to XDATA 0x0A56 and then decremented to zero at 0x0EC2 with the loop exiting on `jz 0x0EC6`, so this is a count of Timer 1 overflows rather than a time. The count's time unit is not decoded, and arriving in A is as far as this is: Ghidra has no Keil C51 calling-convention model.",ec/decompiled/bank0/0EA2.asm,hand-decoded
bank0,0x7049,param_1,value_a,param,"The `movx @DPTR,A` at 0x7050 writes the accumulator this entry was reached with. The `cjne R3,#0x1,0x7052` that opens the listing and the two moves that build DPTR from R1:R2 touch no A, and the block above ends in the `ret` at 0x7048, so nothing on the way in overwrites it. bank-call-targets.csv records an `lcall` at 0xE8BB reaching this address, so on that path the caller left the value in A; what the caller computed there, and the carry the later arms test, are not decoded here.",ec/decompiled/bank0/7049.asm; ec/annotations/bank-call-targets.csv,hand-decoded
bank0,0x8016,param_1,a88_from_8014,artifact,"What reaches the `movx @DPTR,A` at 0x8016 is the 0x88 that `mov A,#0x88` at 0x8014 loaded, promoted by the decompiler to a parameter slot rather than folded into the body. This listing is a fragment of the same straight-line block the entry at 0x8000 begins, not a separate entry point that sets up its own value, and it ends by loading DPTR with 0x1901. bank-call-targets.csv records an `ljmp` at 0xAA67 into 0x8016, on which path A is the jumper's and is not decoded here.",ec/decompiled/bank0/8016.asm; ec/annotations/bank-call-targets.csv,hand-decoded
bank0,0x801F,param_1,a0_from_801d,artifact,"One instruction, and it writes the 0xA0 that `mov A,#0xa0` at 0x801D loaded, at the address `mov DPTR,#0x1901` at 0x801A set; the decompiler promoted that constant to a parameter slot. This is a one-instruction fragment of the same straight-line block entered at 0x8000, not a routine of its own, and it has no return. bank-call-targets.csv records an `ljmp` at 0x9141 into 0x801F, on which path A is the jumper's; what the jumper put in A is not decoded here.",ec/decompiled/bank0/801F.asm; ec/annotations/bank-call-targets.csv,hand-decoded
bank0,0x893E,param_1,ac8_from_893c,artifact,"The `movx @DPTR,A` at 0x893E writes the 0xC8 that `mov A,#0xc8` at 0x893C loaded on the `lcall 0xBB22` arm, which the decompiler promoted to a parameter slot. This listing is a two-instruction fragment of the same straight-line block as 0x8939, not a separate entry point: the `ljmp 0x8F09` at 0x893F leaves without a return. bank-call-targets.csv records an `ljmp` at 0x888A into 0x893E, on which path A is the jumper's, and the address DPTR holds is not decided by this listing either way.",ec/decompiled/bank0/893E.asm; ec/annotations/bank-call-targets.csv,hand-decoded
bank0,0x8C46,param_1,value_a,param,"The `movx @DPTR,A` at 0x8C49 writes the accumulator this entry was reached with; the only instruction before it here is `mov DPTR,#0x469`, which touches no A. bank-call-targets.csv records the `ljmp` at 0x8B11 that reaches 0x8C46, so on that path the caller left the value in A and the byte written is the caller's. The fall-through path is a different kind of arrival and is not decoded here: the last instruction of the block at 0x8B14 before this entry is a `movc A,@A+DPTR`, so a byte stored that way comes from a code table rather than from a caller.",ec/decompiled/bank0/8C46.asm; ec/annotations/bank-call-targets.csv,hand-decoded
bank0,0x8F0F,param_1,value_a,param,"The `movx @DPTR,A` at 0x8F0F writes the accumulator this entry was reached with; the store is the listing's first instruction and the block above it ends in the `ret` at 0x8F0E, so nothing falls in here already set. bank-call-targets.csv records `lcall`s at 0x89B7 and 0x89EB reaching this address, so on those paths the caller left the value in A and the address in DPTR; what the callers put there is not decoded here. Because the listing reads the byte straight back at 0x8F10, this row's value is also the one that reaches 0x075C, and the two 0xA73F command codes are not decoded.",ec/decompiled/bank0/8F0F.asm; ec/annotations/bank-call-targets.csv,hand-decoded
bank0,0x9018,param_1,a14_from_9016,artifact,"The `movx @DPTR,A` at 0x9018 writes the 0x14 that `mov A,#0x14` at 0x9016 loaded, through the DPTR that `inc DPTR` at 0x9015 advanced past 0x081E; the decompiler promoted that constant to a parameter slot. This two-instruction listing is a fragment of the same straight-line block, and its own plate comment places 0x9018 inside the range Ghidra gives the function at 0x8FDB rather than in a routine of its own. bank-call-targets.csv records an `lcall` at 0xB3AA into 0x9018, on which path A is the caller's and is not decoded here.",ec/decompiled/bank0/9018.asm; ec/annotations/bank-call-targets.csv,hand-decoded
bank0,0x901C,param_1,entry_dptr,artifact,"The listing is `mov A,#0x01`, `movx @DPTR,A`, `ret` and never loads DPTR, so the destination is whatever the caller left there. Ghidra renders an uninitialised DPTR as a pointer parameter, which is what makes the C take `undefined1 *`. No calling convention is decoded -- Ghidra has no Keil C51 model -- and the caller's DPTR value is not established from this listing.",ec/decompiled/bank0/901C.asm,hand-decoded
bank0,0x9A7B,param_1,dptr_from_bd20,artifact,"The store at 0x9A84 is `movx @DPTR,A` and this listing loads DPTR nowhere; `lcall 0xBD20` at 0x9A7F chooses the address, so the decompiler's pointer is DPTR as 0xBD20 left it. What 0xBA15 and 0xBD20 read to produce their results is not decoded here.",ec/decompiled/bank0/9A7B.asm,hand-decoded
